ASPECTOS GENERALES DE LA EDUCACION. EVOLUCION DEL NIÑO DE O A 3 AÑOS. PUERICULTURA	EDIC. CEAC	1997	614.07	E 21a	8502	
ASPECTOS GENERALES DE LA EDUCACION. EVOLUCION DEL NIÑO DE O A 3 AÑOS. PUERICULTURA	EDIC. CEAC	1997	614.07	E 21a	8503	
ASPECTOS GENERALES DE LA EDUCACION. EVOLUCION DEL NIÑO DE O A 3 AÑOS. PUERICULTURA	EDIC. CEAC	1997	614.07	E 21a	8504	
ATENCION MEDICA EN EMERGENCIAS	HERNAN LILLO	1994	614.88	L 729	7115	
ATENCION MEDICA EN EMERGENCIAS	HERNAN LILLO	1994	614.88	L 729	7117	
ATENCION MEDICA EN EMERGENCIAS	HERNAN LILLO	1994	614.88	L 729	7118	
ATENCION MEDICA EN EMERGENCIAS	HERNAN LILLO	1994	614.88	L 729	7119	
ATENCION PRIMARIA. CONCEPTOS ORGANIZACIÓN Y PRACTICA CLINICA. V.1	A. MARIN ZURRO	2008	614.4	M 379a	14193	
ATENCION PRIMARIA. CONCEPTOS ORGANIZACIÓN Y PRACTICA CLINICA. V.2	A. MARIN ZURRO	2008	614.4	M 379a	14194	
ATLAS DE ANATOMIA HUMANA	FRANK H. NETTER	2011	611	N 474a	14196	
ATLAS DE ANATOMIA HUMANA	FRANK H. NETTER	2011	611	N 474a	14195	
ATLAS VISUAL DEL CUERPO HUMANO	LUIS ROBERTO BARONE	2009	612	B 265	13422	
ATLAS VISUAL DEL CUERPO HUMANO	LUIS ROBERTO BARONE	2009	612	B 265	13423	
ATLAS VISUAL DEL CUERPO HUMANO	LUIS ROBERTO BARONE	2009	612	B 265	13424	
ATLAS VISUAL DEL CUERPO HUMANO	LUIS ROBERTO BARONE	2009	612	B 265	13425	
CUIDADOS DE ENFERMERIA GERIATRICA EN RESIDENCIAS ASISTIDAS	ANDRES PEREZ MELERO	2006	610.7365	P 438c	14149	
CURSO DE ORIENTACION FAMILIAR. MEDICINA Y SALUD 1	CARLOS GISPERT	1984	614.07	G 535	1549	
CURSO DE ORIENTACION FAMILIAR. PSICOLOGIA INFANTIL Y JUVENIL	CARLOS GISPERT	1984	614.07	G 535ps	1562	
CURSO DE ORIENTACION FAMILIAR. PUERICULTURA	CARLOS GISPERT	1984	614.07	G 535p	1561	
DIAGNOSTICO Y TRATAMIENTO EN INFECTOLOGIA Y PARASOTOLOGIA	WALTER TAVARES	2009	616.90475	T 231d	14188	
DICCIONARIO TECNOLOGICO DE SALUD PUBLICA VETERINARIA	LAUREANO SAIZ MORENO	1990	614	S 158	7493	
EL MANUAL MERK DE DIAGNOSTICO Y TRATAMIENTO	MARK H. BEERS	2006	616075	M 294m	14161	
EL PROCESO DE CONVERTIRSE EN PERSONA	CARL R. ROGERS	1993	616.891.4	R 724	899	
EL PROCESO DE CONVERTIRSE EN PERSONA	CARL R. ROGERS	1993	616.891.4	R 724	901	
EL PROCESO DE CONVERTIRSE EN PERSONA	CARL R. ROGERS	1993	616.891.4	R 724	900	
ELEMENTOS DE TECNOLOGIA DE ALIMENTOS	NORMAN W. DESROSIER	1983	664	D 474	1951	
ENCICLOPEDIA DE ORO DEL AMOR Y LA SEXUALIDAD	DAVID KOFFER	1998	621	K 78	8519	
ENCICLOPEDIA SALVAT LA SALUD. VIDA SEXUAL SANA	SALVAT	1985	612.6	S 182	5848	
ENFERMEDADES INFECCIOSAS EN PEDIATRÍA	LARRY K. PICKERING	2009	618.92	P 595e	14160	
ENFERMERIA COMUNITARIA	MONSERRAT ROCA ROGER	2007	610.734.3	R 669e	14158	
ENFERMERIA COMUNITARIA	MONSERRAT ROCA ROGER	2007	610.734.3	R 669e	14159	
ENFERMERIA DE SALUD MENTAL Y PSIQUIATRICA	ASSUMPTA RIGOL CUADRA	2001	610.7368	R 572e	14191	
ENFERMERIA GERIATRICA	ANDRES PEREZ MELERO	2002	610.7365	P 438e	14163	
ENFERMERIA GERIATRICA	MISERICORDIA GARCIA HERNANDEZ	2000	610.7365	G 216e	14166	
EPIDEMIOLOGIA BASICA EN ATENCION PRIMARIA DE LA SALUD	ROLANDO ARMIJO ROJAS	1994	614.4	A 729	5196	
EPIDEMIOLOGIA BASICA EN ATENCION PRIMARIA DE LA SALUD	ROLANDO ARMIJO ROJAS	1994	614.4	A 729	5198	
EPIDEMIOLOGIA. ENFERMEDADES TRANSMISIBLES Y CRONICO DEGENERATIVAS	FRANCISCO LOPEZ RAMOS	2010	614.4	L 864e	14153	
ESCUELA MATERNAL T.1	MARTA JACUBOVICH	2008	614.05	B 886.3em	13457	
ESCUELA MATERNAL T.1	MARTA JACUBOVICH	2008	614.05	B 886.3em	13458	
ESCUELA MATERNAL T.2	MARTA JACUBOVICH	2008	614.05	B 886.3em	13459	
ESCUELA MATERNAL T.2	MARTA JACUBOVICH	2008	614.05	B 886.3em	13460	
ESTRÉS. ENTENDERLO EN MANEJARLO	CARLOS CRUZ MARIN	1998	616.83	C 957e	9067	
ESTRÉS. ENTENDERLO EN MANEJARLO	CARLOS CRUZ MARIN	1998	616.83	C 957e	7934	
ESTRÉS. ENTENDERLO EN MANEJARLO	CARLOS CRUZ MARIN	1998	616.83	C 957e	7929	
ESTRÉS. ENTENDERLO EN MANEJARLO	CARLOS CRUZ MARIN	1998	616.83	C 957e	7928	
FERTILIDAD DE LA PAREJA HUMANA	PILAR VIGIL PORTALES	2000	612.6	V 677f	9148	
FISIOLOGIA MEDICA	WILLIAM F. GANONG	1988	612	G 198	1448	
FISIOLOGIA MEDICA	WILLIAM F. GANONG	1998	612	G 198f	7726	
FISIOLOGIA MEDICA	WILLIAM F. GANONG	1998	612	G 198f	8558	
FISIOLOGIA MEDICA	WILLIAM F. GANONG	1998	612	G 198f	8559	
FISIOLOGIA MEDICA	WILLIAM F. GANONG	1998	612	G 198f	8560	
FISIOLOGIA MEDICA	ARTHUR C. GUYTON	1987	612	G 992	1449	
FISIOLOGIA MEDICA	ARTHUR C. GUYTON	1987	612	G 992	7068	
FISIOLOGIA MEDICA	ARTHUR C. GUYTON	1987	612	G 992	7105	
FISIOLOGIA MEDICA	ARTHUR C. GUYTON	1987	612	G 992	7106	
FISIOLOGIA MEDICA	ARTHUR C. GUYTON	1987	612	G 992	7107	
FISIOLOGIA MEDICA	ARTHUR C. GUYTON	1987	612	G 992	7109	
FUNDAMENTOS DE ENFERMERIA	MARIA DEL CARMEN LEDESMA PEREZ	2011	610.73	L 473f	14148	
FUNDAMENTOS DE ENFERMERIA 	SUSANA ROSALES BARRERA	2004	610.73	R 788f	14147	
FUNDAMENTOS DE ENFERMERIA. CONCEPTOS PROCESOS Y PRACTICA V.1	BARBARA KOZIER	2005	610.73	K 88f	14199	
FUNDAMENTOS DE ENFERMERIA. CONCEPTOS PROCESOS Y PRACTICA V.2	BARBARA KOZIER	2005	610.73	K 88f	14198	
GENETICA EMBARAZO Y ALIMENTACION. PUERICULTURA	EDIC. CEAC	1997	614.07	E 21	8350	
GENETICA EMBARAZO Y ALIMENTACION. PUERICULTURA	EDIC. CEAC	1997	614.07	E 21	8351	
GENETICA EMBARAZO Y ALIMENTACION. PUERICULTURA	EDIC. CEAC	1997	614.07	E 21	8352	
GUIA COMPLETA DE PRIMEROS AUXILIOS	SILVIA MATURANA	2008	614.88	M 445p	14201	
GUIA COMPLETA DE PRIMEROS AUXILIOS	SILVIA MATURANA	2008	614.88	M 445p	14200	
INSTRUMENTACION QUIRURGICA. TECNICAS DE CIRUGIA GENERAL	MONICA GRACIELA BROTO	2006	617.9178	B 874i	14165	
INSTRUMENTAL QUIRURGICO	MARYANN PAPANIER WELLS	2000	617.9	P 213i	14162	
INTRODUCCION A LA BIOQUIMICA Y TECNOLOGIA DE LOS ALIMENTOS. V.1	JEAN CLAUDE CHEFTEL	1992	664	C 515	789	
INTRODUCCION A LA BIOQUIMICA Y TECNOLOGIA DE LOS ALIMENTOS. V.1	JEAN CLAUDE CHEFTEL	1992	664	C 515	790	
INTRODUCCION A LA BIOQUIMICA Y TECNOLOGIA DE LOS ALIMENTOS. V.1	JEAN CLAUDE CHEFTEL	1992	664	C 515	791	
INTRODUCCION A LA BIOQUIMICA Y TECNOLOGIA DE LOS ALIMENTOS. V.2	JEAN CLAUDE CHEFTEL	1992	664	C 515	792	
INTRODUCCION A LA BIOQUIMICA Y TECNOLOGIA DE LOS ALIMENTOS. V.2	JEAN CLAUDE CHEFTEL	1992	664	C 515	909	
INTRODUCCION A LA NEUROLOGIA. LAS BASES DEL EXAMEN CLINICO	FERNANDO VERGARA	1995	616.8	V 494	3767	
LA NUEVA SALUD PUBLICA	JOHN ASHTON	1988	614	A 828	7489	
LA NUEVA SALUD PUBLICA	JOHN ASHTON	1988	614	A 828	7670	
LA PRIMERA ENTREVISTA CON EL PSICOANALISTA	MAUD MANNONI	1998	616.891.7	M 285p	9066	
LA PROMESA DEL ASOMBRO	HECTOR CROXATTO	1995	610.92	R 666	5111	
LA SALUD MENTAL Y SUS CUIDADOS	JAVIER CABANYES	2010	610.7368	C 112s	14192	
LAROUSSE DE LA DIETETICA Y LA NUTRICION	GEMMA SALVADOR CASTELL	2001	641.1	S 182	13414	
LAROUSSE DE LA DIETETICA Y LA NUTRICION	GEMMA SALVADOR CASTELL	2001	641.1	S 182	13411	
LECCIONES SINDROME DE INMUNODEFICIENCIA ADQUIRIDA	MANUEL ALVAREZ Z.	1988	614.44	A 473	5112	
LEGALIZAR LAS DROGAS	ANTONIO  ESCOHOTADO	1991	616863	E 74	6471	
LEGALIZAR LAS DROGAS	ANTONIO  ESCOHOTADO	1991	616863	E 74	6472	
MANUAL DE CIENCIAS FORENSES Y CRIMINALISTICA	ANGEL GUTIERREZ CHAVEZ	1999	614.19	G 693m	12499	
MANUAL DE ENFERMERIA	MARIA I. DIEZ	2009	610.73	D 568m	13420	 
MANUAL DE ENFERMERIA	MARIA I. DIEZ	2009	610.73	D 568m	13421	
MANUAL DE ENFERMERIA	MARIA I. DIEZ	2009	610.73	D 568m	13426	
MANUAL DE ENFERMERIA	MARIA I. DIEZ	2009	610.73	D 568m	13429	
MANUAL DE ENFERMERIA	MARIA I. DIEZ	2009	610.73	D 568m	14189	
MANUAL DE ENFERMERIA	MARIA I. DIEZ	2009	610.73	D 568m	14190	
MANUAL DE ENFERMERIA MEDICO QUIRURGICA V.1	ESPERANZA RAYON	2002	610.73	R 277m	14155	
MANUAL DE ENFERMERIA MEDICO QUIRURGICA V.2	ESPERANZA RAYON	2002	610.73	R 277m	14157	
MANUAL DE ENFERMERIA MEDICO QUIRURGICA V.3	ESPERANZA RAYON	2002	610.73	R 277m	14156	
MANUAL DE GERIATRIA Y GERONTOLOGIA	PEDRO PAULO MARIN L.	2002	611.5	M 337m	9488	
MANUAL DE INFORMACION PARA LA EDUCACION. SIDA	COM. NAC SIDA. CHILE	1994	614.4	L 318	3459	
MANUAL DE SEGURIDAD PRIMEROS AUXILIOS	W. J. HACKETT	1992	614.88	H 121	1865	
MANUAL DE SEGURIDAD PRIMEROS AUXILIOS	W. J. HACKETT	1992	614.88	H 121	16500	
MANUAL DE SEGURIDAD PRIMEROS AUXILIOS	W. J. HACKETT	1992	614.88	H 121	16501	
MEDICINA EN SALUD PUBLICA	VICENTE ENRIQUE MAZZAFERO	1994	614	M 477	7495	
MEDICINA LABORAL Y AMBIENTAL	JOSEPH LADOU	1999	616.980.3	L 156m	10847	
MEDICINA LEGAL	ALBERTO TAKE	2001	614	T 355m	12513	
MENOPAUSIA Y ENVEJECIMIENTO	OSCAR GONZALEZ CAMPOS	1993	616693	G 643m	9063	
MI HIJO NO QUIERE DORMIR	JO DOUGLAS	1987	614.07	D 734	8315	
MI HIJO NO QUIERE DORMIR	JO DOUGLAS	1987	614.07	D 734	8316	
MI HIJO NO QUIERE DORMIR	JO DOUGLAS	1987	614.07	D 734	8317	
MI HIJO NO QUIERE DORMIR	JO DOUGLAS	1987	614.07	D 734	8318	
NUEVO MANUAL MERK DE INFORMACION MEDICA GENERAL. V.1	MARK H. BEERS	2009	616075	M 294m	14168	
NUEVO MANUAL MERK DE INFORMACION MEDICA GENERAL. V.2	MARK H. BEERS	2009	616075	M 294m	14167	
NUTRICION Y ALIMENTACION HUMANA. V.1	JOSE MATAIX VERDU	2010	613.2	M 425n	13618	
NUTRICION Y ALIMENTACION HUMANA. V.2	JOSE MATAIX VERDU	2010	613.2	M 425n	13619	
NUTRICION Y ALIMENTOS	CAROLYN D. BERDANIER	2010	613.2	B 486na	14205	
OBESIDAD UN DESAFIO PENDIENTE	CECILIA ALBALA	2000	616398	A 325o	7967	
OBESIDAD UN DESAFIO PENDIENTE	CECILIA ALBALA	2000	616398	A 325o	7968	
OBESIDAD UN DESAFIO PENDIENTE	CECILIA ALBALA	2000	616398	A 325o	9072	
PEDIATRIA	GILBERTO TREVIÑO	2009	618.92	T 813p	14152	
PEDIATRIA. T.1	JULIO MENEGHELLO	1972	618.92	M 541	5080	
PEDIATRIA. T.1	JULIO MENEGHELLO	1985	618.92	M 541p	1450	
PEDIATRIA. T.2	JULIO MENEGHELLO	1972	618.92	M 541pe	5081	
PEDIATRIA. T.2	JULIO MENEGHELLO	1985	618.92	M 541ped	1451	
PREVENCION Y TRATAMIENTO DE ENFERMEDADES INFANTILES. PUERICULTURA	EDIC. CEAC	1997	614.07	E 21p	8319	
PREVENCION Y TRATAMIENTO DE ENFERMEDADES INFANTILES. PUERICULTURA	EDIC. CEAC	1997	614.07	E 21p	8320	
PREVENCION Y TRATAMIENTO DE ENFERMEDADES INFANTILES. PUERICULTURA	EDIC. CEAC	1997	614.07	E 21p	8321	
PREVENCION Y TRATAMIENTO DE ENFERMEDADES INFANTILES. PUERICULTURA	EDIC. CEAC	1997	614.07	E 21p	8322	
PRIMEROS AUXILIOS. ATLAS PRACTICO DE URGENCIAS MEDICAS. ACCIDENTES Y SOCORRISMOS	SANTIAGO ROSALES	2000	614.88	R 788	8509	
PRIMEROS AUXILIOS. ATLAS PRACTICO DE URGENCIAS MEDICAS. LAS ENFERMEDADES: CAUSAS SINTOMAS Y CUIDADOS.	SANTIAGO ROSALES	2000	614.88	V 494	8507	
PRIMEROS AUXILIOS. ATLAS PRACTICO DE URGENCIAS MEDICAS. SALUD Y PREVENCION	SANTIAGO ROSALES	2000	614.88	R 788	8508	
PROCEDIMIENTOS DE ENFERMERIA CLINICA	ELIZABETH M. JAMIESON	2008	610.73	J 32p	14154	
PROMOCION DE LA SALUD Y APOYO PSICOLOGICO AL PACIENTE	MANUEL GALLAR	2007	610696	G 696p	14197	
PSICOFISIOLOGIA DE LA PERSONALIDAD	FERNANDO LOLAS S.	1998	616858	L 837	8098	
PSICOTERAPIA DE GRUPO CON LOS NIÑOS	JULIA COROMINAS	1996	616864	C 822p	10765	
SALUD OCUPACIONAL. CONCEPTOS BASICOS	FERNANDO HENAO ROBLEDO	2010	613.62	H 493s	14276	
SEXUALIDAD. EMBARAZO Y PARTO	MAX ZIMMERMANN	1998	612.6	Z 75se	8496	
SEXUALIDAD. INFANCIA Y ADOLESCENCIA	MAX ZIMMERMANN	1998	612.6	Z 75se	8495	
SEXUALIDAD -LA VIDA SEXUAL I	MAX ZIMMERMANN	1998	612.6	Z 75se	8493	
SEXUALIDAD -LA VIDA SEXUAL I	MAX ZIMMERMANN	1998	612.6	Z 75se	8494	
SOBRE VIRUS Y HOMBRES. LA CARRERA CONTRA EL SIDA	LUC MONTAGNIER	1995	614.44	M 758	7492	
TECNICAS BASICAS DE ENFERMERIA	CARMEN JUAN BLANCH	2004	610.73	J 91t	14164	
TECNICAS DE COMUNICACIÓN Y RELACION AYUDA EN CIENCIAS DE LA SALUD	LUIS CIBANAL	2010	613	C 567t	14315	
TECNICAS DE PSICOTERAPIAS DINAMICAS	RAMON FLORENZANO	1991	615857	F 633	8082	
TECNOBUROCRACIA SANITARIA	CELIA IRIART	1994	614	I 68	7490	
TECNOBUROCRACIA SANITARIA	CELIA IRIART	1994	614	I 68	7755	
TRATADO DE FISIOLOGIA MEDICA	ARTHUR C. GUYTON	1992	612	G 992t	3769	
TRATADO DE FISIOLOGIA MEDICA	ARTHUR C. GUYTON	2011	612	G 992t	14150	
TRATADO DE FISIOLOGIA MEDICA	ARTHUR C. GUYTON	2011	612	G 992t	14151	
