FUNDAMENTOS Y NORMATIVA DE LA CONTABILIDAD;MARIA TERESA GARCIA;2001;650;G 216f;9885
PRINCIPIOS CONTABLES;ROBERT N. ANTHONY;1982;657;A 628;1066
PRINCIPIOS CONTABLES;ROBERT N. ANTHONY;1982;657;A 628;1067
PRINCIPIOS CONTABLES;ROBERT N. ANTHONY;1982;657;A 628;1068
CONTABILIDAD;JULIO BOSCH;1994;657;B 742c;1162
CONTABILIDAD;JULIO BOSCH;1994;657;B 742c;1163
CONTABILIDAD;JULIO BOSCH;1994;657;B 742c;1164
CONTABILIDAD;JULIO BOSCH;1994;657;B 742c;1165
CONTABILIDAD T.1;JULIO BOSCH;1989;657;B 742c;1161
CONTABILIDAD T.1;JULIO BOSCH;1989;657;B 742c;3796
CONTABILIDAD T.2;JULIO BOSCH;1989;657;B 742co;1166
CONTABILIDAD T.2;JULIO BOSCH;1989;657;B 742co;5921
CONTABILIDAD BASICA;JULIO BOSCH;1997;657;B 742cb;8777
CONTABILIDAD 2. TOMO 2;JULIO BOSCH;1993;657;B 742co;1168
CONTABILIDAD 2. TOMO 2;JULIO BOSCH;1993;657;B 742co;1169
CONTABILIDAD 2. TOMO 2;JULIO BOSCH;1993;657;B 742co;1170
CONTABILIDAD 2. TOMO 2;JULIO BOSCH;1993;657;B 742co;1171
CONTABILIDAD 2. TOMO 2;JULIO BOSCH;1995;657;B 742co;6252
CONTABILIDAD 2. TOMO 2;JULIO BOSCH;1995;657;B 742co;6253
LA CONTABILIDAD;MARIA TERESA GARCIA;2003;657;G 216c;10733
COMPENDIO. BOLETIN TECNICO Nº1 AL Nº40.;COLEGIO DE CONTADORES;1993;657;C 339b;3029
CONTABILIDAD 1;JAMES CASHIN-JOEL LERNER;1990;657;C339;16670
CONTABILIDAD. FUNDAMENTOS Y USOS;ANIBAL IRARRAZABAL;1998;657;I 65;7137
CONTABILIDAD. FUNDAMENTOS Y USOS;ANIBAL IRARRAZABAL;1998;657;I 65;7138
CONTABILIDAD. TEORIA Y PRACTICA. 1 PRINCIPIOS DE CONTABILIDAD;ROY. B. KESTER;1982;657;K 42;3913
CONTABILIDAD. TEORIA Y PRACTICA. 2 CONTABILIDAD SUPERIOR;ROY. B. KESTER;1980;657;K 42;3072
CONTABILIDAD. TEORIA Y PRACTICA. 3 CONTABILIDAD APLICADA;ROY. B. KESTER;1980;657;K 42;3073
CONTABILIDAD. TEORIA Y PRACTICA. 4 SOLUCIONES DE LOS EJERCICIOS PRACTICOS;ROY. B. KESTER;1980;657;K 42;3071
CONSOLIDACION DE ESTADOS FINANCIEROS;AURELIANO MARTINEZ CASTILLO;1995;657;M 385;6292
CONSOLIDACION DE ESTADOS FINANCIEROS;AURELIANO MARTINEZ CASTILLO;1995;657;M 385;6293
CONSOLIDACION DE ESTADOS FINANCIEROS;AURELIANO MARTINEZ CASTILLO;1995;657;M 385;6294
CONSOLIDACION DE ESTADOS FINANCIEROS;AURELIANO MARTINEZ CASTILLO;1995;657;M 385;6295
CONSOLIDACION DE ESTADOS FINANCIEROS;AURELIANO MARTINEZ CASTILLO;1995;657;M 385;9412
CONSOLIDACION DE ESTADOS FINANCIEROS;AURELIANO MARTINEZ CASTILLO;1995;657;M 385;9413
CONSOLIDACION DE ESTADOS FINANCIEROS;AURELIANO MARTINEZ CASTILLO;1995;657;M 385;9414
CONTABILIDAD. LA BASE PARA LAS DECISIONES GERENCIALES;ROBERT F. MEIGS;1992;657;M 512;1076
CONTABILIDAD. LA BASE PARA LAS DECISIONES GERENCIALES;ROBERT F. MEIGS;1992;657;M 512;1075
CONTABILIDAD. LA BASE PARA LAS DECISIONES GERENCIALES;ROBERT F. MEIGS;1992;657;M 512;1077
CONTABILIDAD. LA BASE PARA LAS DECISIONES GERENCIALES;ROBERT F. MEIGS;1999;657;M 512c;7220
CONTABILIDAD. LA BASE PARA LAS DECISIONES GERENCIALES;ROBERT F. MEIGS;1999;657;M 512c;7218
CONTABILIDAD SUPERIOR ;JOAQUIN MORENO FERNANDEZ;2006;657;M 843s;14252
CONTABILIDAD 1;MARIO NICOLINI;1978;657;N 644;2638
CONTABILIDAD 1;MARIO NICOLINI;1978;657;N 644c;4073
CONTABILIDAD 1;MARIO NICOLINI;1978;657;N 644c;4072
TECNICAS DE LA AUDITORIA INFORMATICA;YANN DERRIEN;1995;657.025.5;D 438t;10782
TECNICAS DE LA AUDITORIA INFORMATICA;YANN DERRIEN;1995;657.025.5;D 438t;1674
TECNICAS DE LA AUDITORIA INFORMATICA;YANN DERRIEN;1995;657.025.5;D 438t;9085
CONTABILIDAD FUNDAMENTOS Y USOS;ANIBAL IRARRAZABAL;2003;657.042;I 65;16663
CONTABILIDAD FUNDAMENTOS Y USOS;ANIBAL IRARRAZABAL;2003;657.042;I 65;16664
CONTABILIDAD INTERMEDIA;JULIO BOSCH;1994;657.1;B 742ci;397
CONTABILIDAD INTERMEDIA;JULIO BOSCH;1994;657.1;B 742ci;398
CONTABILIDAD INTERMEDIA;JULIO BOSCH;1994;657.1;B 742ci;399
CONTABILIDAD INTERMEDIA;JULIO BOSCH;1994;657.1;B 742ci;400
CONTABILIDAD INTERMEDIA;JULIO BOSCH;1994;657.1;B 742ci;402
CONTABILIDAD INTERMEDIA;JULIO BOSCH;1994;657.1;B 742ci;404
CONTABILIDAD;FRANCISCO CHOLVIS;1983;657.042;C 547;14463
CONTABILIDAD;FRANCISCO CHOLVIS;1983;657.042;C 547;14464
CONTABILIDAD;FRANCISCO CHOLVIS;1983;657.042;C 547;14465
CONTABILIDAD;CHARLES T. HORNGREN;1997;657.042;H 816c;9062
CONTABILIDAD. TOMO II ;MARIA TERESA GARCIA;1972;657.1;G 216;721
CONTABILIDAD. TOMO II ;MARIA TERESA GARCIA;1972;657.1;G 216;722
CONTABILIDAD. TOMO II ;MARIA TERESA GARCIA;1972;657.1;G 216;723
CONTABILIDAD. TOMO II ;MARIA TERESA GARCIA;1972;657.1;G 216;724
CONTABILIDAD. TOMO II ;MARIA TERESA GARCIA;1972;657.1;G 216;725
CONTABILIDAD INTERMEDIA;JAVIER ROMERO LOPEZ;1997;657.1;R 763c;9282
CONTABILIDAD INTERMEDIA;JAVIER ROMERO LOPEZ;1997;657.1;R 763c;9283
CONTABILIDAD INTERMEDIA;JAVIER ROMERO LOPEZ;1997;657.1;R 763c;9284
CONTABILIDAD. INFORMACION Y CONTROL EN LAS EMPRESAS;GABRIEL TORRES SALAZAR;2002;657.1;T 689c;10879
CONTABILIDAD SUPERIOR ;JULIO BOSCH;1995;657.2;B 742cs;1010
CONTABILIDAD SUPERIOR ;JULIO BOSCH;1995;657.2;B 742cs;1012
CONTABILIDAD SUPERIOR ;JULIO BOSCH;1995;657.2;B 742cs;1013
CONTABILIDAD SUPERIOR ;JULIO BOSCH;1995;657.2;B 742cs;1014
TEORIA Y PROBLEMAS DE CONTABILIDAD I;JAMES A. CASHIN;1976;657;C 339c;3513
TEORIA Y PROBLEMAS DE CONTABILIDAD II;JAMES A. CASHIN;1976;657;C 339c;11745
CONTABILIDAD SUPERIOR ;JAVIER ROMERO LOPEZ;2000;657.2;R 763c;9285
CONTABILIDAD SUPERIOR ;JAVIER ROMERO LOPEZ;2000;657.2;R 763c;9286
CONTABILIDAD SUPERIOR ;JAVIER ROMERO LOPEZ;2000;657.2;R 763c;9287
CONTABILIDAD DEL FUTURO;LUIS A. WENER-WILDNER Q.;1995;657.2;W 792c;10655
VALUACION DE INVERSIONES Y ESTADOS CONSOLIDADOS;JULIO BOSCH;1993;657.3;B 742eg;877
VALUACION DE INVERSIONES Y ESTADOS CONSOLIDADOS;JULIO BOSCH;1993;657.3;B 742eg;880
MANUAL DE CORRECCION MONETARIA;HUGO CONTRERAS;1989;657.3;C 764;3672
MANUAL DE CORRECCION MONETARIA;HUGO CONTRERAS;1989;657.3;C 764;3707
ESTADO DE FLUJOS DE EFECTIVO Y DE OTROS FLUJOS DE FONDOS;RODRIGO ESTUPIÑAN GAITAN;2009;657.3;ES 82e;14211
CONTABILIDAD FINANCIERA;GERARDO GUAJARDO CANTU;1997;657.3;G 898;7084
CONTABILIDAD FINANCIERA;GERARDO GUAJARDO CANTU;1997;657.3;G 898;7085
CONTABILIDAD FINANCIERA;GERARDO GUAJARDO CANTU;1997;657.3;G 898;7086
CONTABILIDAD FINANCIERA;GERARDO GUAJARDO CANTU;1997;657.3;G 898;7087
CONTABILIDAD FINANCIERA;GERARDO GUAJARDO CANTU;1997;657.3;G 898;4139
CONTABILIDAD AVANZADA;JOE BEN HOYLE;1989;657.2;H 868;8689
CONTABILIDAD AVANZADA;JOE BEN HOYLE;1989;657.2;H 868;8690
CONTABILIDAD AVANZADA;JOE BEN HOYLE;1989;657.2;H 868;8692
INTRODUCCION A LA CONTABILIDAD FINANCIERA;KUMEN H. JONES;2001;657.3;J 79i;9354
CONTABILIDAD FINANCIERA;EARL A. SPILLER;1988;657.3;S 756;2915
ESTADOS FINALES DE CONTABILIDAD;LUIS VARGAS VALDIVIA;1989;657.3;V 297;755
ESTADOS FINALES DE CONTABILIDAD;LUIS VARGAS VALDIVIA;1992;657.3;V 297;759
ESTADOS FINALES DE CONTABILIDAD;LUIS VARGAS VALDIVIA;1992;657.3;V 297;760
ESTADOS FINALES DE CONTABILIDAD;LUIS VARGAS VALDIVIA;1996;657.3;V 297e;7650
ESTADOS FINALES DE CONTABILIDAD;LUIS VARGAS VALDIVIA;1996;657.3;V 297e;7651
ESTADOS FINALES DE CONTABILIDAD;LUIS VARGAS VALDIVIA;1996;657.3;V 297e;7652
ESTADOS FINALES DE CONTABILIDAD;LUIS VARGAS VALDIVIA;1996;657.3;V 297e;7653
CORRECCION MONETARIA DE ESTADOS CONTABLES;LUIS VARGAS VALDIVIA;1996;657.3;V297;16660
CONTABILIDAD Y ANALISIS DE COSTOS;MARIA MAGDALENA ARREDONDO G.;2009;657.42;AR 744ca;14302
CONTABILIDAD DE COSTOS;JAMES A. CASHIN;1993;657.42;C 338;1962
CONTABILIDAD DE COSTOS;JAMES A. CASHIN;1993;657.42;C 338;1963
CONTABILIDAD DE COSTOS. UN ENFOQUE GERENCIAL;CHARLES T. HORNGREN;1991;657.42;H 816;1172
CONTABILIDAD DE COSTOS;MORTON BACKER;1988;657.42;B 126;728
CONTABILIDAD DE COSTOS;MORTON BACKER;1988;657.42;B 126;729
CONTABILIDAD DE COSTOS;MORTON BACKER;1988;657.42;B 126;730
CONTABILIDAD DE COSTOS. UN ENFOQUE GERENCIAL;CHARLES T. HORNGREN;1996;657.42;H 816c;8228
CONTABILIDAD DE COSTOS. UN ENFOQUE GERENCIAL;CHARLES T. HORNGREN;1996;657.42;H 816c;8236
CONTABILIDAD DE COSTOS. UN ENFOQUE GERENCIAL;CHARLES T. HORNGREN;1996;657.42;H 816c;8237
CONTABILIDAD DE COSTOS. UN ENFOQUE GERENCIAL;CHARLES T. HORNGREN;1991;657.42;H 816;485
CONTABILIDAD DE COSTOS. UN ENFOQUE GERENCIAL;CHARLES T. HORNGREN;1991;657.42;H 816;1173
CONTABILIDAD DE COSTOS. UN ENFOQUE GERENCIAL;CHARLES T. HORNGREN;2009;657.42;H 816c.c;14310
CONTABILIDAD DE COSTOS. UN ENFOQUE GERENCIAL;CHARLES T. HORNGREN;1980;657.42;H 816;483
CONTABILIDAD DE COSTOS. UN ENFOQUE GERENCIAL;CHARLES T. HORNGREN;1980;657.42;H 816;484
CONTABILIDAD DE GESTION PARA TOMAR DECISIONES;GRAHAM MOTT;1998;657.42;M 921c;9465
CURSO PRACTICO DE IVA;HUGO CONTRERAS;1999;336.2;C 764;6991
CONTABILIDAD DE COSTOS;RALPH S. POLIMENI;1994;657.42;P 768;1244
CONTABILIDAD DE COSTOS;RALPH S. POLIMENI;1994;657.42;P 768;1245
CONTABILIDAD DE COSTOS;RALPH S. POLIMENI;1994;657.42;P 768;5161
CONTABILIDAD DE COSTOS;RALPH S. POLIMENI;1994;657.42;P 768;5162
CONTABILIDAD DE COSTOS;RALPH S. POLIMENI;1994;657.42;P 768;5163
CONTABILIDAD DE COSTOS;RALPH S. POLIMENI;1994;657.42;P 768;6247
CONTABILIDAD DE COSTOS;RALPH S. POLIMENI;1994;657.42;P 768;6248
CONTABILIDAD DE COSTOS;RALPH S. POLIMENI;1994;657.42;P 768;6250
CONTABILIDAD DE COSTOS;RALPH S. POLIMENI;1994;657.42;P 768;7058
CONTABILIDAD DE COSTOS;RALPH S. POLIMENI;1994;657.42;P 768;7059
CONTABILIDAD DE COSTOS;RALPH S. POLIMENI;1994;657.42;P 768;7060
CONTABILIDAD DE COSTOS;RALPH S. POLIMENI;1994;657.42;P 768;7061
CONTABILIDAD DE COSTOS;RALPH S. POLIMENI;1994;657.42;P 768;7062
CONTABILIDAD DE COSTOS;RALPH S. POLIMENI;1994;657.42;P 768;7064
CONTABILIDAD DE COSTOS;RALPH S. POLIMENI;1994;657.42;P 768;7065
CONTABILIDAD DE COSTOS;RALPH S. POLIMENI;1994;657.42;P 768;8114
CONTABILIDAD DE COSTOS;RALPH S. POLIMENI;1994;657.42;P 768;8115
CONTABILIDAD DE COSTOS;RALPH S. POLIMENI;1994;657.42;P 768;8116
CONTABILIDAD DE COSTOS;RALPH S. POLIMENI;1994;657.42;P 768;9835
CONTABILIDAD DE COSTOS;RALPH S. POLIMENI;1994;657.42;P 768;14231
CONTABILIDAD DE COSTOS;LUIS VARGAS VALDIVIA;1993;657.42;V 297;872
CONTABILIDAD DE COSTOS;LUIS VARGAS VALDIVIA;1993;657.42;V 297;875
CONTABILIDAD DE COSTOS;LUIS VARGAS VALDIVIA;1993;657.42;V 297;876
LA AUDITORIA OPERATIVA EN LA PRACTICA;JORDI MAS;1998;657.44;M 394a;10872
AUDITORIA. TOMO I;JUAN M. AGUIRRE;1998;657.45;A 284;7142
AUDITORIA. TOMO I;JUAN M. AGUIRRE;1998;657.45;A 284;7143
GUIA DE AUDITORIA;LARRY P. BAILEY;1998;657.45;B 155g;9321
AUDITORIA Y CONTROL DE DINERO;GUSTAVO CEPEDA;1997;657.45;C 399;7021
AUDITORIA Y CONTROL DE DINERO;GUSTAVO CEPEDA;1997;657.45;C 399;7022
AUDITORIA Y CONTROL DE DINERO;GUSTAVO CEPEDA;1997;657.45;C 399;7023
AUDITORIA Y CONTROL DE DINERO;GUSTAVO CEPEDA;1997;657.45;C 399;7024
AUDITORIA ;JOHN W. COOK;1987;657.45;C 771;1357
AUDITORIA ;JOHN W. COOK;1987;657.45;C 771;1358
AUDITORIA ;JOHN W. COOK;1987;657.45;C 771;1359
AUDITORIA ;JOHN W. COOK;1987;657.45;C 771;14403
AUDITORIA ;JOHN W. COOK;1987;657.45;C 771;1360
AUDITORIA ;JOHN W. COOK;1987;657.45;C 771;1361
AUDITORIA MONGOMERY;ROBERT H. MONGOMERY;1988;657.45;D 314;2450
AUDITORIA MONGOMERY;ROBERT H. MONGOMERY;1988;657.45;D 314;2451
AUDITORIA MONGOMERY;ROBERT H. MONGOMERY;1999;657.45;D 314;7262
AUDITORIA MONGOMERY;ROBERT H. MONGOMERY;1999;657.45;D 314;7263
AUDITORIA MONGOMERY;ROBERT H. MONGOMERY;1999;657.45;D 314;7264
AUDITORIA MONGOMERY;ROBERT H. MONGOMERY;1999;657.45;D 314;7265
PLANEACION ESTRATEGICA DE LA PRODUCCION;THOMAS A. FAULHABER;1969;657.45;F 261p;4188
PLANEACION ESTRATEGICA DE LA PRODUCCION;THOMAS A. FAULHABER;1969;657.45;F 261p;4189
PRINCIPIOS BASICOS DE AUDITORIA;ARTHUR W. HOLMES;1992;657.45;H 749;1259
PRINCIPIOS BASICOS DE AUDITORIA;ARTHUR W. HOLMES;1992;657.45;H 749;1260
PRINCIPIOS BASICOS DE AUDITORIA;ARTHUR W. HOLMES;1992;657.45;H 749;1261
PRINCIPIOS BASICOS DE AUDITORIA;ARTHUR W. HOLMES;1992;657.45;H 749;1262
PRINCIPIOS BASICOS DE AUDITORIA;ARTHUR W. HOLMES;1995;657.45;H 729p;8683
PRINCIPIOS BASICOS DE AUDITORIA;ARTHUR W. HOLMES;1995;657.45;H 729p;8684
PRINCIPIOS BASICOS DE AUDITORIA;ARTHUR W. HOLMES;1995;657.45;H 729p;8685
PRINCIPIOS BASICOS DE AUDITORIA;ARTHUR W. HOLMES;1995;657.45;H 729p;16665
CUESTIONES FUNDAMENTALES DE AUDITORIA;ENRIQUE FOWLER NEWTON;1989;657.45;F 789;14402
PLANEACION ESTRATEGICA APLICADA;LEONARD D. GOODSTEIN;1998;657.45;G 578p;3462
PLANEACION ESTRATEGICA APLICADA;LEONARD D. GOODSTEIN;1998;657.45;G 578p;3469
INTRODUCCION A LA AUDITORIA DE ESTADOS FINANCIEROS;JOAQUIN GOMEZ MORFIN;1998;657.45;G 633i;3447
INTRODUCCION A LA AUDITORIA DE ESTADOS FINANCIEROS;JOAQUIN GOMEZ MORFIN;1998;657.45;G 633i;3448
INTRODUCCION A LA AUDITORIA DE ESTADOS FINANCIEROS;JOAQUIN GOMEZ MORFIN;1998;657.45;G 633i;3474
NORMAS Y PROCEDIMIENTOS DE AUDITORIA. TOMO I;CONDA;1997;657.45;I 59;7765
NORMAS Y PROCEDIMIENTOS DE AUDITORIA. TOMO II;CONDA;1997;657.45;I 59;7766
AUDITORIA ADMINISTRATIVA;WILLIAM P. LEONARD;1995;657.45;L 583;1813
AUDITORIA ;CARLOS ALBERTO SLOSSE;2009;657.45;SL 634;14219
MANUAL DE CONTROL DE COSTOS;RICHARD WILSON;1988;657.450 202;W 753m;9147
AUDITORIA EN INFORMATICA;JOSE ANTONIO ECHENIQUE;1990;657.450.285;E 18;6460
AUDITORIA COMPUTACIONAL ;JORGE LEON MORALES;1987;657.45;L 579;3671
AUDITORIA INFORMATICA;A. J. THOMAS;1988;657.450.285;T 454;2285
AUDITORIA INFORMATICA;A. J. THOMAS;1988;657.450.285;T 454;2286
CONTABILIDAD FINANCIERA SUPERIOR;MARIA BESTEIRO VARELA;2010;657.48;B 561fcs;14303
CONTABILIDAD FINANCIERA;CHARLES T. HORNGREN;1994;657.48;H 816;1598
CONTABILIDAD FINANCIERA;CHARLES T. HORNGREN;1994;657.48;H 816;1599
ESTADO DE FLUJOS DE EFECTIVO;JORGE OPAZO;1999;657.48;O 61;6993
ESTADO DE FLUJOS DE EFECTIVO;JORGE OPAZO;1999;657.48;O 61;6994
ESTADO DE FLUJOS DE EFECTIVO;JORGE OPAZO;1999;657.48;O 61;7153
ESTADO DE FLUJO DE CAJA;LUIS VARGAS VALDIVIA;1990;657.48;V 297;3738
ESTADO DE FLUJO DE CAJA;LUIS VARGAS VALDIVIA;1998;657.48;V 297e;7641
ESTADO DE FLUJO DE CAJA;LUIS VARGAS VALDIVIA;1998;657.48;V 297e;7643
ESTADO DE FLUJO DE CAJA;LUIS VARGAS VALDIVIA;1998;657.48;V 297e;7644
ESTADO DE FLUJO DE EFECTIVO;LORENZO CRUCES ACUÑA;2001;657.60;C 955e;10494
ESTADO DE FLUJO DE EFECTIVO;LORENZO CRUCES ACUÑA;2001;657.60;C 955e;10495
ESTADO DE FLUJO DE EFECTIVO;LORENZO CRUCES ACUÑA;2001;657.60;C 955e;10496
ESTADO DE FLUJO DE EFECTIVO;LORENZO CRUCES ACUÑA;2001;657.60;C 955e;10497
ESTADO DE FLUJO DE EFECTIVO;LORENZO CRUCES ACUÑA;2001;657.60;C 955e;10498
ESTADO DE FLUJO DE EFECTIVO;LORENZO CRUCES ACUÑA;2001;657.60;C 955e;10499
ESTADO DE FLUJO DE EFECTIVO;LORENZO CRUCES ACUÑA;2001;657.60;C 955e;10501
ESTADO DE FLUJO DE EFECTIVO;LORENZO CRUCES ACUÑA;2001;657.60;C 955e;10657
APLICACIÓN DE LAS NORMAS INTERNACIONALES DE CONTABILIDAD;ENRIQUE CORONA ROMERO;2005;657.61;C 822nic;14304
MANUAL DE CONTABILIDAD HOTELERA;SECRETARIA TURISMO;1992;657.837;TURISMO;16667
