BOMBAS DE INYECCION DIESEL	JUAN MIRALLES	2000	621436	M672	16701
MANUAL PRACTICO- INYECCION DIESEL	MIGUEL DE CASTRO 	1999	621.436.1	C346	13354
MANUAL DE AGUAS PARA USOS INDUSTRIALES	HORTENCIA CORONA	1982	628.51	A512	1838
MANUAL  DEL MECANICO	MIGUEL DE CASTRO 	1998	629.2	C346	13349
TRUCOS DEL OFICIO DEL MECANICO DE AUTOMOVILES 	MIGUEL DE CASTRO 	1999	629.2	C346	13350
MOTORES DIESEL PARA AUTOMOVILES 	CARLOS ARROYO	1990	629.22	A779	13344
MOTORES DIESEL PARA AUTOMOVILES 	CARLOS ARROYO	1990	629.22	A779	13345
AUTOMOVILES Y MOTORES A EXPLOSION	W. VARELA R.	1977	629254	V293	S/ INVENT.
AUTOMOVILES Y MOTORES A EXPLOSION	W. VARELA R.	1977	629254	V293	S/ INVENT.
MANUAL PUESTA A PUNTO DE LA DISTRIBUCION I	EDICIONES NEGRI 	2002	629.28	N386	13346
LOCALIZACION DE AVERIAS 1	MIGUEL CASTRO	1996	629287	C346	S/ INVENT.
MANUAL PUESTA A PUNTO DE LA DISTRIBUCION II	EDICIONES NEGRI 	2002	629.28	N386	13347
PEQUEÃ‘AS REPARACONES 	DEREK BARBER	1999	629287	B234	13359
